r,t,f,y,val,solvedtm,region_name,tech_name,fuel_name
R13,P16110,F77,2025,18.205881119999983,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2045,18.205881119999983,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2040,18.205881119999983,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2035,18.205881119999983,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2030,18.205881119999987,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2055,18.205881119999994,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2060,18.205881119999987,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2050,18.205881119999983,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P2627,F74,2025,29.644782762364684,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2045,38.936609360067465,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2040,36.59408898318293,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2035,34.89399867249066,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2030,33.60118878426664,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2055,44.88974353359823,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2060,48.199398487820496,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2050,41.80734900709213,2026-05-13 13:38:49.789,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2641,F18,2025,118.16462361365757,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2045,140.10661586345216,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2040,125.95963132955163,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2035,116.48587533894104,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2030,118.9158810404865,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2055,160.3042527092732,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2060,164.9031047538418,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2050,151.6652877555347,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2516,F25,2025,132.10131203315547,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2045,156.631208343714,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2040,140.81568622644113,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2035,130.2245671760101,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2030,132.94117500333869,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2055,179.21101476721427,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2060,184.3522691490685,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2050,169.55314450031833,2026-05-13 13:38:49.789,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2683,F21,2025,24.22908974227399,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2045,34.897855939931425,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2040,32.338593770744204,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2035,30.23032163677159,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2030,28.40308919137421,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2055,40.52512936510733,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2060,43.4614717100811,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2683,F21,2050,37.80208674903261,2026-05-13 13:38:49.789,Laos,LPG,"LPG output from ""Gas Processing"" [LEAP ID:8]"
R13,P2668,F22,2025,20.967732406361087,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2668,F22,2045,20.293591552795494,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2668,F22,2040,20.775252944838808,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2668,F22,2035,21.43354964015372,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2668,F22,2030,22.202769927976796,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2668,F22,2055,19.21926800173188,2026-05-13 13:38:49.789,Laos,Natural Gas,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
