r,t,e,y,val,solvedtm,region_name,tech_name,emission_name
R1,P16040,E1,2025,243.33616629630546,2026-05-13 13:38:49.789,Indonesia,HVO Renewable Diesel,Carbon Dioxide Biogenic
R11,P16040,E1,2025,418.12634783145404,2026-05-13 13:38:49.789,Thailand,HVO Renewable Diesel,Carbon Dioxide Biogenic
R17,P16040,E1,2025,368.2734617632636,2026-05-13 13:38:49.789,Malaysia,HVO Renewable Diesel,Carbon Dioxide Biogenic
R17,P21563,E1,2025,208773.40726203343,2026-05-13 13:38:49.789,Malaysia,Biomass Other_MYPE,Carbon Dioxide Biogenic
R17,P22388,E1,2025,89986.90961658447,2026-05-13 13:38:49.789,Malaysia,Biomass Other_MYSB,Carbon Dioxide Biogenic
R6,P2907,E1,2025,127500.01831905878,2026-05-13 13:38:49.789,Cambodia,Biogas,Carbon Dioxide Biogenic
R13,P2956,E1,2025,3396.5097778378995,2026-05-13 13:38:49.789,Laos,Biomass Other,Carbon Dioxide Biogenic
R14,P2956,E1,2025,3537954.7111063898,2026-05-13 13:38:49.789,Vietnam,Biomass Other,Carbon Dioxide Biogenic
R19,P2956,E1,2025,184663.80558777886,2026-05-13 13:38:49.789,Philippines,Biomass Other,Carbon Dioxide Biogenic
R6,P2956,E1,2025,5906.825447199427,2026-05-13 13:38:49.789,Cambodia,Biomass Other,Carbon Dioxide Biogenic
R16,P15321,E13,2025,28.629331529799835,2026-05-13 13:38:49.789,Singapore,Gas Combined Cycle with CCS,Sulfur Dioxide
R1,P16040,E13,2025,0.6935793214931689,2026-05-13 13:38:49.789,Indonesia,HVO Renewable Diesel,Sulfur Dioxide
R11,P16040,E13,2025,1.1917825165134925,2026-05-13 13:38:49.789,Thailand,HVO Renewable Diesel,Sulfur Dioxide
R17,P16040,E13,2025,1.0496871945565083,2026-05-13 13:38:49.789,Malaysia,HVO Renewable Diesel,Sulfur Dioxide
R17,P20955,E13,2025,1198.386343652317,2026-05-13 13:38:49.789,Malaysia,Gas Turbine_MYPE,Sulfur Dioxide
R17,P21096,E13,2025,377094.63549475383,2026-05-13 13:38:49.789,Malaysia,Coal Subcritical_MYPE,Sulfur Dioxide
R17,P21163,E13,2025,43149.68517813609,2026-05-13 13:38:49.789,Malaysia,Coal Subcritical_MYSR,Sulfur Dioxide
R17,P21230,E13,2025,1571.1776409966699,2026-05-13 13:38:49.789,Malaysia,Gas Combined Cycle_MYPE,Sulfur Dioxide
R17,P21252,E13,2025,176.10415459319228,2026-05-13 13:38:49.789,Malaysia,Gas Combined Cycle_MYSB,Sulfur Dioxide
R17,P21274,E13,2025,144.67647235183847,2026-05-13 13:38:49.789,Malaysia,Gas Combined Cycle_MYSR,Sulfur Dioxide
R1,P21809,E13,2025,55221.55351386359,2026-05-13 13:38:49.789,Indonesia,Coal Subcritical_IDEast,Sulfur Dioxide
R1,P21872,E13,2025,470262.2324580388,2026-05-13 13:38:49.789,Indonesia,Coal Subcritical_IDJW,Sulfur Dioxide
R1,P21935,E13,2025,28339.66193052363,2026-05-13 13:38:49.789,Indonesia,Coal Subcritical_IDKA,Sulfur Dioxide
R1,P21998,E13,2025,99327.01906056699,2026-05-13 13:38:49.789,Indonesia,Coal Subcritical_IDSA,Sulfur Dioxide
R1,P22129,E13,2025,38.74923247653779,2026-05-13 13:38:49.789,Indonesia,Gas Combined Cycle_IDEast,Sulfur Dioxide
R1,P22147,E13,2025,6.149752092340168,2026-05-13 13:38:49.789,Indonesia,Gas Combined Cycle_IDKA,Sulfur Dioxide
R1,P22165,E13,2025,156.41269687010998,2026-05-13 13:38:49.789,Indonesia,Gas Combined Cycle_IDSA,Sulfur Dioxide
R1,P22183,E13,2025,617.3547256187425,2026-05-13 13:38:49.789,Indonesia,Gas Combined Cycle_IDJW,Sulfur Dioxide
R1,P22235,E13,2025,3.1820160730541462,2026-05-13 13:38:49.789,Indonesia,Gas Turbine_IDSA,Sulfur Dioxide
R1,P22252,E13,2025,18.105367814837074,2026-05-13 13:38:49.789,Indonesia,Gas Turbine_IDJW,Sulfur Dioxide
R1,P22269,E13,2025,303.8560848514132,2026-05-13 13:38:49.789,Indonesia,Gas Engine_IDEast,Sulfur Dioxide
R1,P22286,E13,2025,68.77947683236438,2026-05-13 13:38:49.789,Indonesia,Gas Engine_IDKA,Sulfur Dioxide
R1,P22303,E13,2025,100.74191686863709,2026-05-13 13:38:49.789,Indonesia,Gas Engine_IDSA,Sulfur Dioxide
R1,P22320,E13,2025,15.833416185201093,2026-05-13 13:38:49.789,Indonesia,Gas Engine_IDJW,Sulfur Dioxide
R15,P2544,E13,2025,5425.848259495885,2026-05-13 13:38:49.789,Brunei,All Refineries,Sulfur Dioxide
R16,P2544,E13,2025,12692.937445254505,2026-05-13 13:38:49.789,Singapore,All Refineries,Sulfur Dioxide
R17,P2544,E13,2025,11392.945631234661,2026-05-13 13:38:49.789,Malaysia,All Refineries,Sulfur Dioxide
R1,P2653,E13,2025,1976.6906338713752,2026-05-13 13:38:49.789,Indonesia,LNG,Sulfur Dioxide
R11,P2653,E13,2025,23.22396658574986,2026-05-13 13:38:49.789,Thailand,LNG,Sulfur Dioxide
R12,P2653,E13,2025,3.5498507807939492,2026-05-13 13:38:49.789,Myanmar,LNG,Sulfur Dioxide
R13,P2653,E13,2025,2.3047708138671474,2026-05-13 13:38:49.789,Laos,LNG,Sulfur Dioxide
R14,P2653,E13,2025,37.51369159101002,2026-05-13 13:38:49.789,Vietnam,LNG,Sulfur Dioxide
R15,P2653,E13,2025,960.5694676590001,2026-05-13 13:38:49.789,Brunei,LNG,Sulfur Dioxide
R16,P2653,E13,2025,4.215565330964182,2026-05-13 13:38:49.789,Singapore,LNG,Sulfur Dioxide
R17,P2653,E13,2025,4982.5194947608115,2026-05-13 13:38:49.789,Malaysia,LNG,Sulfur Dioxide
R19,P2653,E13,2025,6.373008015921293,2026-05-13 13:38:49.789,Philippines,LNG,Sulfur Dioxide
R20,P2653,E13,2025,0.003158115034187074,2026-05-13 13:38:49.789,Timor Leste,LNG,Sulfur Dioxide
R6,P2653,E13,2025,1.6598045014409208,2026-05-13 13:38:49.789,Cambodia,LNG,Sulfur Dioxide
R1,P2668,E13,2025,4675.187353746633,2026-05-13 13:38:49.789,Indonesia,Natural Gas,Sulfur Dioxide
R11,P2668,E13,2025,1857.0260775225524,2026-05-13 13:38:49.789,Thailand,Natural Gas,Sulfur Dioxide
R12,P2668,E13,2025,2230.9877826752786,2026-05-13 13:38:49.789,Myanmar,Natural Gas,Sulfur Dioxide
R13,P2668,E13,2025,87.15572906961289,2026-05-13 13:38:49.789,Laos,Natural Gas,Sulfur Dioxide
R14,P2668,E13,2025,1527.9200499114818,2026-05-13 13:38:49.789,Vietnam,Natural Gas,Sulfur Dioxide
R15,P2668,E13,2025,116.63720754727458,2026-05-13 13:38:49.789,Brunei,Natural Gas,Sulfur Dioxide
R16,P2668,E13,2025,263.6241529758559,2026-05-13 13:38:49.789,Singapore,Natural Gas,Sulfur Dioxide
R17,P2668,E13,2025,2152.440199479722,2026-05-13 13:38:49.789,Malaysia,Natural Gas,Sulfur Dioxide
R19,P2668,E13,2025,219.42017720743658,2026-05-13 13:38:49.789,Philippines,Natural Gas,Sulfur Dioxide
R20,P2668,E13,2025,0.10637800778403605,2026-05-13 13:38:49.789,Timor Leste,Natural Gas,Sulfur Dioxide
