r,rr,f,y,val,solvedtm,region_name,destination_region_name,fuel_name
R13,R12,F29,2040,1.0133041021695266,2026-05-13 13:38:49.789,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F29,2035,0.6231967599874462,2026-05-13 13:38:49.789,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F29,2050,1.0210599017731066,2026-05-13 13:38:49.789,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F17,2025,25.344151880120926,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2045,1.732434342953399,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2040,29.01286995518948,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2035,1.5042812559681331,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2030,3.707735626484607,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2055,97.62531847019267,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2060,1.7607311047916845,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2050,5.157228254546322,2026-05-13 13:38:49.789,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F15,2045,-2.938407123287671e-07,2026-05-13 13:38:49.789,Laos,Myanmar,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
R13,R12,F15,2050,1.657051787201957e-06,2026-05-13 13:38:49.789,Laos,Myanmar,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
R13,R12,F34,2050,7.755296502156559e-07,2026-05-13 13:38:49.789,Laos,Myanmar,"Cassava input to ""Bioethanol Production"" [LEAP ID:81]"
R13,R15,F29,2025,0.028552347362472575,2026-05-13 13:38:49.789,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R15,F29,2040,0.7312996586412148,2026-05-13 13:38:49.789,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
