tr,y,val,solvedtm
T10,2025,1.0,2026-05-13 13:38:49.789
T12,2025,1.0,2026-05-13 13:38:49.789
T15,2025,1.0,2026-05-13 13:38:49.789
T16,2025,1.0,2026-05-13 13:38:49.789
T18,2025,1.0,2026-05-13 13:38:49.789
T22,2025,1.0,2026-05-13 13:38:49.789
T25,2025,1.0,2026-05-13 13:38:49.789
T10,2030,1.0,2026-05-13 13:38:49.789
T12,2030,1.0,2026-05-13 13:38:49.789
T15,2030,1.0,2026-05-13 13:38:49.789
T16,2030,1.0,2026-05-13 13:38:49.789
T18,2030,1.0,2026-05-13 13:38:49.789
T22,2030,1.0,2026-05-13 13:38:49.789
T25,2030,1.0,2026-05-13 13:38:49.789
T10,2035,1.0,2026-05-13 13:38:49.789
T12,2035,1.0,2026-05-13 13:38:49.789
T15,2035,1.0,2026-05-13 13:38:49.789
T16,2035,1.0,2026-05-13 13:38:49.789
T18,2035,1.0,2026-05-13 13:38:49.789
T22,2035,1.0,2026-05-13 13:38:49.789
T25,2035,1.0,2026-05-13 13:38:49.789
T10,2040,1.0,2026-05-13 13:38:49.789
T12,2040,1.0,2026-05-13 13:38:49.789
T14,2040,1.0,2026-05-13 13:38:49.789
T15,2040,1.0,2026-05-13 13:38:49.789
T16,2040,1.0,2026-05-13 13:38:49.789
T18,2040,1.0,2026-05-13 13:38:49.789
T21,2040,1.0,2026-05-13 13:38:49.789
T22,2040,1.0,2026-05-13 13:38:49.789
T25,2040,1.0,2026-05-13 13:38:49.789
T10,2045,1.0,2026-05-13 13:38:49.789
T12,2045,1.0,2026-05-13 13:38:49.789
T14,2045,1.0,2026-05-13 13:38:49.789
T15,2045,1.0,2026-05-13 13:38:49.789
T16,2045,1.0,2026-05-13 13:38:49.789
T18,2045,1.0,2026-05-13 13:38:49.789
T21,2045,1.0,2026-05-13 13:38:49.789
T22,2045,1.0,2026-05-13 13:38:49.789
T25,2045,1.0,2026-05-13 13:38:49.789
T29,2045,0.9105570561650903,2026-05-13 13:38:49.789
T10,2050,1.0,2026-05-13 13:38:49.789
T12,2050,1.0,2026-05-13 13:38:49.789
T14,2050,1.0,2026-05-13 13:38:49.789
T15,2050,1.0,2026-05-13 13:38:49.789
T16,2050,1.0,2026-05-13 13:38:49.789
T18,2050,1.0,2026-05-13 13:38:49.789
T21,2050,1.0,2026-05-13 13:38:49.789
T22,2050,1.0,2026-05-13 13:38:49.789
T25,2050,1.0,2026-05-13 13:38:49.789
T29,2050,1.0,2026-05-13 13:38:49.789
T10,2055,1.0,2026-05-13 13:38:49.789
T12,2055,1.0,2026-05-13 13:38:49.789
T14,2055,1.0,2026-05-13 13:38:49.789
T15,2055,1.0,2026-05-13 13:38:49.789
T16,2055,1.0,2026-05-13 13:38:49.789
T18,2055,1.0,2026-05-13 13:38:49.789
T21,2055,1.0,2026-05-13 13:38:49.789
T22,2055,1.0,2026-05-13 13:38:49.789
T25,2055,1.0,2026-05-13 13:38:49.789
T29,2055,1.0,2026-05-13 13:38:49.789
T10,2060,1.0,2026-05-13 13:38:49.789
T12,2060,1.0,2026-05-13 13:38:49.789
T14,2060,1.0,2026-05-13 13:38:49.789
T15,2060,1.0,2026-05-13 13:38:49.789
T16,2060,1.0,2026-05-13 13:38:49.789
T18,2060,1.0,2026-05-13 13:38:49.789
T21,2060,1.0,2026-05-13 13:38:49.789
T22,2060,1.0,2026-05-13 13:38:49.789
T25,2060,1.0,2026-05-13 13:38:49.789
T29,2060,1.0,2026-05-13 13:38:49.789
