r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R1,P14428,Indonesia,Nuclear SMR,Nuclear,True,0.4807692,0.4807692,0.09615320000000015,4,-0.09615399999999999,0.0,,False
R19,P14442,Philippines,Wind Offshore,Wind Offshore,True,50.1,7.0,50.1,1,-11.0,29.0,1.6022099447513811,False
R17,P20908,Malaysia,Wind Onshore_MYSR,Wind Onshore,True,5.644976513080161,2.1781925093379533,3.8243578811864407,1,-2.1781925093379537,2.969544087287455,8.595691893562389,False
R16,P2847,Singapore,Solar PV,Solar PV,True,2.537037037037037,1.537037037037037,1.0,1,-1.5370370370370372,1.0000000000000002,,False
R16,P16756,Singapore,Solar PV Rooftop,Solar PV,True,1.537037037037037,1.537037037037037,0.7672115274549149,1,-0.769825509582122,0.0,,False
R6,P2847,Cambodia,Solar PV,Solar PV,True,9.790000000000001,1.94,9.566,1,-0.2240000000000002,4.800000000000001,1.2229299363057324,False
R11,P2731,Thailand,Biomass Gasification,Biomass/Waste,True,9.8025,4.205,9.8025,1,-0.1924999999999999,4.135000000000001,1.4283246977547497,False
R6,P2713,Cambodia,Wind Onshore,Wind Onshore,True,3.418,0.06899999999999995,3.349,1,-0.06899999999999995,2.7990000000000004,1.671543744401314,False
R1,P16756,Indonesia,Solar PV Rooftop,Solar PV,True,15.483,2.5805000000000002,15.483,0,0.0,12.9025,,True
R1,P19896,Indonesia,Solar PV_IDJW,Solar PV,True,1.3455,0.1189,1.3455,0,0.0,0.9133999999999999,1.4893200717430295,True
R1,P20164,Indonesia,Solar PV_IDSA,Solar PV,True,5.4826,0.2497,5.4826,0,0.0,3.0527999999999995,1.166771770910967,True
R1,P20186,Indonesia,Solar PV_IDKA,Solar PV,True,2.7797,0.1266,2.7797,0,0.0,1.5477,1.1667106403829481,True
R1,P20208,Indonesia,Solar PV_IDEast,Solar PV,True,6.1914,0.2819,6.1914,0,0.0,3.4475,1.1667653777815383,True
R1,P20230,Indonesia,Wind Onshore_IDJW,Wind Onshore,True,0.0692,0.0268,0.0692,0,0.0,0.04239999999999999,,True
R1,P20296,Indonesia,Wind Onshore_IDEast,Wind Onshore,True,7.117799999999999,2.7382,7.117799999999999,0,0.0,4.379599999999999,,True
R1,P20318,Indonesia,Geothermal Flash_IDJW,Geothermal,True,3.3403,0.0861,3.3403,0,0.0,2.3598,1.450310368139635,True
R1,P20340,Indonesia,Geothermal Flash_IDSA,Geothermal,True,1.4973000000000003,0.0386,1.4973000000000003,0,0.0,1.0577000000000003,1.4501953794474534,True
R1,P20384,Indonesia,Geothermal Flash_IDEast,Geothermal,True,0.3195,0.008199999999999999,0.3195,0,0.0,0.2258,1.4506906521040797,True
R1,P20406,Indonesia,Large Hydro_IDJW,Large Hydro,True,5.102200000000001,0.2974,5.102200000000001,0,0.0,3.730900000000001,1.5529886779886781,True
R1,P20428,Indonesia,Large Hydro_IDSA,Large Hydro,True,3.3919000000000006,0.1977,3.3919000000000006,0,0.0,2.4802000000000004,1.552939703212072,True
R1,P20450,Indonesia,Large Hydro_IDKA,Large Hydro,True,0.5146999999999999,0.03,0.5146999999999999,0,0.0,0.37639999999999996,1.553125644728698,True
R1,P20472,Indonesia,Large Hydro_IDEast,Large Hydro,True,1.4915,0.0869,1.4915,0,0.0,1.0907,1.5530400113911433,True
R1,P21627,Indonesia,Biomass Other_IDJW,Biomass/Waste,True,0.1695496728,0.1695496728,0.1695496728,0,0.0,0.0,,True
R1,P21659,Indonesia,Biomass Other_IDSA,Biomass/Waste,True,2.7557090509999997,2.319709051,2.7557090509999997,0,0.0,0.387,1.7752293577981655,True
R1,P21691,Indonesia,Biomass Other_IDKA,Biomass/Waste,True,0.47403673609999997,0.41603673609999997,0.47403673609999997,0,0.0,0.030999999999999972,1.0689655172413783,True
R1,P21723,Indonesia,Biomass Other_IDEast,Biomass/Waste,True,0.36206453975,0.021064539750000003,0.36206453975,0,0.0,0.326,1.912023460410557,True
