r,t,f,y,val,solvedtm,region_name,tech_name,fuel_name
R13,P16110,F77,2025,18.205881119999983,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2045,18.205881119999987,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2040,18.205881119999987,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2035,18.205881119999983,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2030,18.205881119999987,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2055,18.205881119999983,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2060,18.205881119999997,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P16110,F77,2050,18.205881119999983,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Lignite input to ""Lignite Coal Production"" [LEAP ID:16]"
R13,P2627,F74,2025,29.644782762364684,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2045,38.936609360067465,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2040,36.59408898318293,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2035,34.89399867249066,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2030,33.60118878426664,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2055,44.88974353359823,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2060,48.199398487820496,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P2627,F74,2050,41.80734900709213,2026-05-13 15:07:40.839,Laos,All Mines,"Coal Bituminous input to ""Bituminous Coal Production"" [LEAP ID:13]"
R13,P14937,F22,2030,-6.143031289131414e-15,2026-05-13 15:07:40.839,Laos,SMR,"Natural Gas output from ""Natural Gas Transmission and Distribution"" [LEAP ID:2]"
R13,P2641,F18,2025,118.16462361365757,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2045,140.10661586345216,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2040,125.95963132955163,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2035,116.48587533894104,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2030,118.9158810404865,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2055,160.3042527092732,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2060,164.9031047538418,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2641,F18,2050,151.66528775553468,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Electricity Transmission and Distribution"" [LEAP ID:1]"
R13,P2516,F25,2025,132.10131203315547,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2045,156.63120834371404,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2040,140.81568622644113,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2035,130.2245671760101,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2030,132.94117500333869,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2055,179.21101476721427,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
R13,P2516,F25,2060,184.3522691490685,2026-05-13 15:07:40.839,Laos,Electricity,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
