r,e,y,val,solvedtm,region_name,emission_name
R1,E1,2025,141400739.04347116,2026-05-13 15:07:40.839,Indonesia,Carbon Dioxide Biogenic
R11,E1,2025,166429712.09415522,2026-05-13 15:07:40.839,Thailand,Carbon Dioxide Biogenic
R12,E1,2025,163729898.08248398,2026-05-13 15:07:40.839,Myanmar,Carbon Dioxide Biogenic
R13,E1,2025,71610292.83008195,2026-05-13 15:07:40.839,Laos,Carbon Dioxide Biogenic
R14,E1,2025,5212494.426131277,2026-05-13 15:07:40.839,Vietnam,Carbon Dioxide Biogenic
R17,E1,2025,299128.59034038114,2026-05-13 15:07:40.839,Malaysia,Carbon Dioxide Biogenic
R19,E1,2025,411797522.0893628,2026-05-13 15:07:40.839,Philippines,Carbon Dioxide Biogenic
R20,E1,2025,14284506.278107226,2026-05-13 15:07:40.839,Timor Leste,Carbon Dioxide Biogenic
R6,E1,2025,34615940.24719505,2026-05-13 15:07:40.839,Cambodia,Carbon Dioxide Biogenic
R1,E13,2025,1296707.0393241597,2026-05-13 15:07:40.839,Indonesia,Sulfur Dioxide
R11,E13,2025,286909.4741426914,2026-05-13 15:07:40.839,Thailand,Sulfur Dioxide
R12,E13,2025,10682.164713844932,2026-05-13 15:07:40.839,Myanmar,Sulfur Dioxide
R13,E13,2025,73791.08002315773,2026-05-13 15:07:40.839,Laos,Sulfur Dioxide
R14,E13,2025,578365.1326356919,2026-05-13 15:07:40.839,Vietnam,Sulfur Dioxide
R15,E13,2025,37109.35478139209,2026-05-13 15:07:40.839,Brunei,Sulfur Dioxide
R16,E13,2025,25194.42326082475,2026-05-13 15:07:40.839,Singapore,Sulfur Dioxide
R17,E13,2025,614840.935019038,2026-05-13 15:07:40.839,Malaysia,Sulfur Dioxide
R19,E13,2025,415966.7377519984,2026-05-13 15:07:40.839,Philippines,Sulfur Dioxide
R20,E13,2025,822.6164258466946,2026-05-13 15:07:40.839,Timor Leste,Sulfur Dioxide
R6,E13,2025,33150.022661970135,2026-05-13 15:07:40.839,Cambodia,Sulfur Dioxide
R1,E15,2025,13377.304832682566,2026-05-13 15:07:40.839,Indonesia,Ammonia
R11,E15,2025,9821.255932285749,2026-05-13 15:07:40.839,Thailand,Ammonia
