r,t,y,val,solvedtm,region_name,tech_name
R16,P11937,2025,0.4142857142857143,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R16,P14414,2025,1.1396334498113083,2026-05-13 09:47:49.138,Singapore,Unmet Load
R16,P14446,2025,0.5,2026-05-13 09:47:49.138,Singapore,Solar CSP
R1,P14612,2025,0.038905107703213204,2026-05-13 09:47:49.138,Indonesia,Anaerobic Digestion
R12,P14612,2025,0.011588063372311597,2026-05-13 09:47:49.138,Myanmar,Anaerobic Digestion
R6,P14612,2025,0.03313099617889645,2026-05-13 09:47:49.138,Cambodia,Anaerobic Digestion
R1,P14937,2025,0.001631821464508556,2026-05-13 09:47:49.138,Indonesia,SMR
R11,P14937,2025,0.0028039709824190513,2026-05-13 09:47:49.138,Thailand,SMR
R16,P14937,2025,1.3739353649798307,2026-05-13 09:47:49.138,Singapore,SMR
R17,P14937,2025,0.0024696556572786333,2026-05-13 09:47:49.138,Malaysia,SMR
R6,P14937,2025,0.00011198060847340683,2026-05-13 09:47:49.138,Cambodia,SMR
R1,P15108,2025,0.07128791628672405,2026-05-13 09:47:49.138,Indonesia,Production from Hydrogen
R16,P15321,2025,0.15384615384615388,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle with CCS
R1,P15464,2025,4.462749079499989,2026-05-13 09:47:49.138,Indonesia,CO2 Utilization for Iron and Steel
R11,P15464,2025,0.7495679745070357,2026-05-13 09:47:49.138,Thailand,CO2 Utilization for Iron and Steel
R17,P15464,2025,0.008546260042717743,2026-05-13 09:47:49.138,Malaysia,CO2 Utilization for Iron and Steel
R6,P15464,2025,0.0003225829749268928,2026-05-13 09:47:49.138,Cambodia,CO2 Utilization for Iron and Steel
R1,P16040,2025,0.018652887617979445,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2025,0.032051395790954035,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2025,0.028229932276444804,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R1,P16068,2025,332.40191924286046,2026-05-13 09:47:49.138,Indonesia,All Mines
R14,P16068,2025,0.36960794205000097,2026-05-13 09:47:49.138,Vietnam,All Mines
R15,P16068,2025,0.42173861505296667,2026-05-13 09:47:49.138,Brunei,All Mines
R19,P16068,2025,4.971165634760273,2026-05-13 09:47:49.138,Philippines,All Mines
R11,P16089,2025,0.01460388127853881,2026-05-13 09:47:49.138,Thailand,All Mines
R14,P16089,2025,2.7509797867015764,2026-05-13 09:47:49.138,Vietnam,All Mines
R1,P16110,2025,1.5036276780325848,2026-05-13 09:47:49.138,Indonesia,All Mines
R13,P16110,2025,0.5773047031963466,2026-05-13 09:47:49.138,Laos,All Mines
R11,P16131,2025,0.13807305936073058,2026-05-13 09:47:49.138,Thailand,All Mines
R14,P16131,2025,0.7007956958104917,2026-05-13 09:47:49.138,Vietnam,All Mines
R17,P16131,2025,3.0523502984181885,2026-05-13 09:47:49.138,Malaysia,All Mines
R19,P16131,2025,0.18877401028794802,2026-05-13 09:47:49.138,Philippines,All Mines
R16,P16146,2025,0.6545320497217558,2026-05-13 09:47:49.138,Singapore,H2 Fuel Cell
R16,P16756,2025,0.7704675851931789,2026-05-13 09:47:49.138,Singapore,Solar PV Rooftop
R1,P20318,2025,4205.6597,2026-05-13 09:47:49.138,Indonesia,Geothermal Flash_IDJW
R1,P20362,2025,175.0,2026-05-13 09:47:49.138,Indonesia,Geothermal Flash_IDKA
R1,P20384,2025,9304.6805,2026-05-13 09:47:49.138,Indonesia,Geothermal Flash_IDEast
R1,P20406,2025,4.82,2026-05-13 09:47:49.138,Indonesia,Large Hydro_IDJW
R1,P20428,2025,12.208099999999998,2026-05-13 09:47:49.138,Indonesia,Large Hydro_IDSA
R1,P20450,2025,21.0853,2026-05-13 09:47:49.138,Indonesia,Large Hydro_IDKA
R1,P20472,2025,31.488500000000005,2026-05-13 09:47:49.138,Indonesia,Large Hydro_IDEast
R17,P20494,2025,0.84,2026-05-13 09:47:49.138,Malaysia,Solar PV_MYPE
R17,P20516,2025,0.84,2026-05-13 09:47:49.138,Malaysia,Solar PV_MYSB
R1,P20701,2025,1000.0,2026-05-13 09:47:49.138,Indonesia,Unmet Load_IDEast
R1,P20711,2025,2.4165037975040007,2026-05-13 09:47:49.138,Indonesia,Unmet Load_IDKA
R1,P20721,2025,1000.0,2026-05-13 09:47:49.138,Indonesia,Unmet Load_IDSA
R1,P20731,2025,1000.0,2026-05-13 09:47:49.138,Indonesia,Unmet Load_IDJW
R17,P20908,2025,2.5767664456807835,2026-05-13 09:47:49.138,Malaysia,Wind Onshore_MYSR
R17,P20955,2025,23.915351460697863,2026-05-13 09:47:49.138,Malaysia,Gas Turbine_MYPE
R12,P23146,2025,0.1274728336700408,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2025,0.3032150564368677,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2025,0.8950137584446531,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R15,P23146,2025,0.013200044022182948,2026-05-13 09:47:49.138,Brunei,POME Biodiesel
R16,P23146,2025,0.5064026720144731,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R17,P23146,2025,1.7429078313758268,2026-05-13 09:47:49.138,Malaysia,POME Biodiesel
R19,P23146,2025,0.3464330570200018,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2025,0.00029799553693150794,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R6,P23146,2025,0.14797474754832837,2026-05-13 09:47:49.138,Cambodia,POME Biodiesel
R1,P23325,2025,5.3253,2026-05-13 09:47:49.138,Indonesia,Small Hydro_IDSA
R1,P23371,2025,2.1555,2026-05-13 09:47:49.138,Indonesia,Small Hydro_IDEast
R1,P2510,2025,114.70940451670148,2026-05-13 09:47:49.138,Indonesia,Gasoline
R11,P2510,2025,21.200533364728283,2026-05-13 09:47:49.138,Thailand,Gasoline
R12,P2510,2025,4.1880375385385085,2026-05-13 09:47:49.138,Myanmar,Gasoline
R13,P2510,2025,1.4168571057187287,2026-05-13 09:47:49.138,Laos,Gasoline
R14,P2510,2025,36.961360585892464,2026-05-13 09:47:49.138,Vietnam,Gasoline
R15,P2510,2025,2.610326068077125,2026-05-13 09:47:49.138,Brunei,Gasoline
R16,P2510,2025,34.78535066888256,2026-05-13 09:47:49.138,Singapore,Gasoline
R17,P2510,2025,27.674959234599164,2026-05-13 09:47:49.138,Malaysia,Gasoline
R19,P2510,2025,7.3603329027060695,2026-05-13 09:47:49.138,Philippines,Gasoline
R20,P2510,2025,0.38007904629165723,2026-05-13 09:47:49.138,Timor Leste,Gasoline
R6,P2510,2025,3.44892441093569,2026-05-13 09:47:49.138,Cambodia,Gasoline
R1,P2516,2025,35.923853092671656,2026-05-13 09:47:49.138,Indonesia,Electricity
R11,P2516,2025,20.80175272543123,2026-05-13 09:47:49.138,Thailand,Electricity
R12,P2516,2025,2.0756049368994614,2026-05-13 09:47:49.138,Myanmar,Electricity
R13,P2516,2025,1.6136280764527506,2026-05-13 09:47:49.138,Laos,Electricity
R14,P2516,2025,20.309436923751875,2026-05-13 09:47:49.138,Vietnam,Electricity
R15,P2516,2025,0.7305439348005935,2026-05-13 09:47:49.138,Brunei,Electricity
R16,P2516,2025,4.751384745532214,2026-05-13 09:47:49.138,Singapore,Electricity
R17,P2516,2025,17.215447181334135,2026-05-13 09:47:49.138,Malaysia,Electricity
R19,P2516,2025,12.245804815744803,2026-05-13 09:47:49.138,Philippines,Electricity
R20,P2516,2025,0.07469989714168818,2026-05-13 09:47:49.138,Timor Leste,Electricity
R6,P2516,2025,1.930130846409765,2026-05-13 09:47:49.138,Cambodia,Electricity
R1,P2521,2025,61.74112906008023,2026-05-13 09:47:49.138,Indonesia,Natural Gas
R11,P2521,2025,14.319821390345245,2026-05-13 09:47:49.138,Thailand,Natural Gas
R12,P2521,2025,17.019473082512054,2026-05-13 09:47:49.138,Myanmar,Natural Gas
R13,P2521,2025,0.6648824329769494,2026-05-13 09:47:49.138,Laos,Natural Gas
R14,P2521,2025,11.656000254073948,2026-05-13 09:47:49.138,Vietnam,Natural Gas
R15,P2521,2025,0.904506182259433,2026-05-13 09:47:49.138,Brunei,Natural Gas
R16,P2521,2025,3.9272593080772804,2026-05-13 09:47:49.138,Singapore,Natural Gas
R17,P2521,2025,21.64396230592555,2026-05-13 09:47:49.138,Malaysia,Natural Gas
R19,P2521,2025,1.6738844689072583,2026-05-13 09:47:49.138,Philippines,Natural Gas
R6,P2521,2025,0.4742856637421194,2026-05-13 09:47:49.138,Cambodia,Natural Gas
R15,P2544,2025,10.161066351982443,2026-05-13 09:47:49.138,Brunei,All Refineries
R16,P2544,2025,28.966078694856773,2026-05-13 09:47:49.138,Singapore,All Refineries
R17,P2544,2025,26.77257189985937,2026-05-13 09:47:49.138,Malaysia,All Refineries
R20,P2600,2025,0.0009730275254562333,2026-05-13 09:47:49.138,Timor Leste,LNG
R1,P2605,2025,69.36283995523837,2026-05-13 09:47:49.138,Indonesia,Natural Gas
R11,P2605,2025,14.319821390345245,2026-05-13 09:47:49.138,Thailand,Natural Gas
R12,P2605,2025,18.99909886776531,2026-05-13 09:47:49.138,Myanmar,Natural Gas
