table,rows,csv
vannualemissions,1142,vannualemissions.csv
vannualfixedoperatingcost,1003,vannualfixedoperatingcost.csv
vannualtechnologyemission,7135,vannualtechnologyemission.csv
vannualvariableoperatingcost,1454,vannualvariableoperatingcost.csv
vcapitalinvestment,189,vcapitalinvestment.csv
vdiscountedcapitalinvestment,189,vdiscountedcapitalinvestment.csv
vdiscountedoperatingcost,2055,vdiscountedoperatingcost.csv
vdiscountedsalvagevalue,123,vdiscountedsalvagevalue.csv
vdiscountedtechnologyemissionspenalty,0,
vnewcapacity,2266,vnewcapacity.csv
vproductionbytechnology,167784,vproductionbytechnology.csv
vproductionbytechnologyannual,4080,vproductionbytechnologyannual.csv
vrateofproduction,132425,vrateofproduction.csv
vrateofuse,68790,vrateofuse.csv
vtotalcapacityannual,4519,vtotalcapacityannual.csv
vtradeannual,0,
vtransmissionannual,75,vtransmissionannual.csv
vtransmissionbuilt,3,vtransmissionbuilt.csv
vtransmissionbyline,3504,vtransmissionbyline.csv
vtransmissionexists,73,vtransmissionexists.csv
vusebytechnology,91158,vusebytechnology.csv
vusebytechnologyannual,2066,vusebytechnologyannual.csv
