Country,Year,Scenario,Size_group,Efficiency_level,units_per_hh_parent,penetration_pct,intensity,size_share_pct,eff_share_pct,leaf_units_per_hh,efficiency_pct,useful_energy_intensity_toe,kwh_unit,unit_capacity_kw,price_usd,crf,annualized_capital_usd,tariff_usd_per_kwh,om_electricity_usd,demand_cost_usd_per_unit,source
Brunei Darussalam,2014,ATS,Large,High_eff,2.34,82.37,2.84,48.34483448344835,12.991311543235415,0.146952,100.0,0.160335339638865,1864.7,,1136.62,0.12405888265031004,141.0078071979954,0.0072,13.425839999999999,141.0078071979954,historical
Brunei Darussalam,2014,ATS,Large,Low_eff,2.34,82.37,2.84,48.34483448344835,40.79437318990484,0.46144799999999997,52.93533185715097,0.160335339638865,3522.6,,1082.5,0.12405888265031004,134.2937404689606,0.0072,25.36272,134.2937404689606,historical
Brunei Darussalam,2014,ATS,Large,Mid_eff,2.34,82.37,2.84,48.34483448344835,46.21431526685974,0.522756,72.32565355674502,0.160335339638865,2578.2,,1109.56,0.12405888265031004,137.65077383347798,0.0072,18.563039999999997,137.65077383347798,historical
Brunei Darussalam,2014,ATS,Medium,High_eff,2.34,82.37,2.84,24.26242624262426,11.500412201154164,0.065286,100.0,0.09773000859845227,1136.6,,709.3,0.12405888265031004,87.9949654638649,0.0072,8.18352,87.9949654638649,historical
Brunei Darussalam,2014,ATS,Medium,Low_eff,2.34,82.37,2.84,24.26242624262426,59.72794723825228,0.339066,51.08085029886297,0.09773000859845227,2225.1,,528.0,0.12405888265031004,65.5030900393637,0.0072,16.020719999999997,65.5030900393637,historical
Brunei Darussalam,2014,ATS,Medium,Mid_eff,2.34,82.37,2.84,24.26242624262426,28.771640560593575,0.163332,75.04291562128614,0.09773000859845227,1514.6,,481.4,0.12405888265031004,59.721946107859246,0.0072,10.905119999999998,59.721946107859246,historical
Brunei Darussalam,2014,ATS,Small,High_eff,2.34,82.37,2.84,27.392739273927397,8.90836071558963,0.057095999999999994,100.0,0.0672914875322442,782.6,,557.5,0.12405888265031004,69.16282707754785,0.0072,5.63472,69.16282707754785,historical
Brunei Darussalam,2014,ATS,Small,Low_eff,2.34,82.37,2.84,27.392739273927397,54.14384811975174,0.347022,64.46989043578549,0.0672914875322442,1213.9,,309.9,0.12405888265031004,38.44584773333108,0.0072,8.74008,38.44584773333108,historical
Brunei Darussalam,2014,ATS,Small,Mid_eff,2.34,82.37,2.84,27.392739273927397,36.94779116465863,0.236808,81.93048576214406,0.0672914875322442,955.2,,328.9,0.12405888265031004,40.80296650368697,0.0072,6.87744,40.80296650368697,historical
Brunei Darussalam,2015,ATS,Large,High_eff,2.32,82.08,2.83,48.344834483448345,14.025651634257343,0.157296,100.0,0.160335339638865,1864.7,,1136.62,0.12405888265031004,141.0078071979954,0.0072,13.425839999999999,141.0078071979954,historical
Brunei Darussalam,2015,ATS,Large,Low_eff,2.32,82.08,2.83,48.344834483448345,40.11170872983036,0.449848,52.93533185715097,0.160335339638865,3522.6,,1082.5,0.12405888265031004,134.2937404689606,0.0072,25.36272,134.2937404689606,historical
Brunei Darussalam,2015,ATS,Large,Mid_eff,2.32,82.08,2.83,48.344834483448345,45.86263963591229,0.514344,72.32565355674502,0.160335339638865,2578.2,,1109.56,0.12405888265031004,137.65077383347798,0.0072,18.563039999999997,137.65077383347798,historical
Brunei Darussalam,2015,ATS,Medium,High_eff,2.32,82.08,2.83,24.17241724172417,12.577575506826646,0.070528,100.0,0.09773000859845227,1136.6,,709.3,0.12405888265031004,87.9949654638649,0.0072,8.18352,87.9949654638649,historical
Brunei Darussalam,2015,ATS,Medium,Low_eff,2.32,82.08,2.83,24.17241724172417,58.62639635912288,0.3287439999999999,51.08085029886297,0.09773000859845227,2225.1,,528.0,0.12405888265031004,65.5030900393637,0.0072,16.020719999999997,65.5030900393637,historical
