region,fuel,year,volume_pct,energy_pct
Brunei,Biodiesel,2025,0.0,0.0
Brunei,Biodiesel,2026,0.0,0.0
Brunei,Biodiesel,2027,0.0,0.0
Brunei,Biodiesel,2030,0.0,0.0
Brunei,Biodiesel,2035,0.0,0.0
Brunei,Biodiesel,2040,0.0,0.0
Brunei,Biodiesel,2045,0.0,0.0
Brunei,Biodiesel,2050,0.0,0.0
Brunei,Biodiesel,2055,0.0,0.0
Brunei,Biodiesel,2060,0.0,0.0
Cambodia,Biodiesel,2025,0.0,0.0
Cambodia,Biodiesel,2026,0.0,0.0
Cambodia,Biodiesel,2027,0.0,0.0
Cambodia,Biodiesel,2030,0.0,0.0
Cambodia,Biodiesel,2035,0.0,0.0
Cambodia,Biodiesel,2040,0.0,0.0
Cambodia,Biodiesel,2045,0.0,0.0
Cambodia,Biodiesel,2050,0.0,0.0
Cambodia,Biodiesel,2055,0.0,0.0
Cambodia,Biodiesel,2060,0.0,0.0
Indonesia,Biodiesel,2025,40.0,37.5
Indonesia,Biodiesel,2026,50.0,47.368421
Indonesia,Biodiesel,2027,50.0,47.368421
Indonesia,Biodiesel,2030,50.0,47.368421
Indonesia,Biodiesel,2035,50.0,47.368421
Indonesia,Biodiesel,2040,50.0,47.368421
Indonesia,Biodiesel,2045,50.0,47.368421
Indonesia,Biodiesel,2050,50.0,47.368421
Indonesia,Biodiesel,2055,50.0,47.368421
Indonesia,Biodiesel,2060,50.0,47.368421
Laos,Biodiesel,2025,1.67,1.505514
Laos,Biodiesel,2026,3.33,3.007013
Laos,Biodiesel,2027,5.0,4.522613
Laos,Biodiesel,2030,10.0,9.090909
Laos,Biodiesel,2035,10.0,9.090909
Laos,Biodiesel,2040,10.0,9.090909
Laos,Biodiesel,2045,10.0,9.090909
Laos,Biodiesel,2050,10.0,9.090909
Laos,Biodiesel,2055,10.0,9.090909
Laos,Biodiesel,2060,10.0,9.090909
Malaysia,Biodiesel,2025,5.0,4.522613
Malaysia,Biodiesel,2026,15.0,13.705584
Malaysia,Biodiesel,2027,15.0,13.705584
Malaysia,Biodiesel,2030,30.0,27.835052
Malaysia,Biodiesel,2035,30.0,27.835052
Malaysia,Biodiesel,2040,30.0,27.835052
Malaysia,Biodiesel,2045,30.0,27.835052
Malaysia,Biodiesel,2050,30.0,27.835052
Malaysia,Biodiesel,2055,30.0,27.835052
Malaysia,Biodiesel,2060,30.0,27.835052
Myanmar,Biodiesel,2025,0.0,0.0
Myanmar,Biodiesel,2026,0.0,0.0
Myanmar,Biodiesel,2027,0.0,0.0
Myanmar,Biodiesel,2030,0.0,0.0
Myanmar,Biodiesel,2035,0.0,0.0
Myanmar,Biodiesel,2040,0.0,0.0
Myanmar,Biodiesel,2045,0.0,0.0
Myanmar,Biodiesel,2050,0.0,0.0
Myanmar,Biodiesel,2055,0.0,0.0
Myanmar,Biodiesel,2060,0.0,0.0
Philippines,Biodiesel,2025,4.0,3.614458
Philippines,Biodiesel,2026,5.0,4.522613
Philippines,Biodiesel,2027,5.0,4.522613
Philippines,Biodiesel,2030,5.0,4.522613
Philippines,Biodiesel,2035,5.0,4.522613
