Country,Year,Size_group,Efficiency_level,device_thousand,source
Brunei Darussalam,2005,Large,High_eff,3.1297,existing_stock
Brunei Darussalam,2006,Large,High_eff,3.282,existing_stock
Brunei Darussalam,2007,Large,High_eff,3.4366,existing_stock
Brunei Darussalam,2008,Large,High_eff,3.5937,existing_stock
Brunei Darussalam,2009,Large,High_eff,3.7533,existing_stock
Brunei Darussalam,2010,Large,High_eff,3.9163,existing_stock
Brunei Darussalam,2011,Large,High_eff,4.0796,existing_stock
Brunei Darussalam,2012,Large,High_eff,4.2424,existing_stock
Brunei Darussalam,2013,Large,High_eff,4.4074,existing_stock
Brunei Darussalam,2014,Large,High_eff,4.5738,existing_stock
Brunei Darussalam,2015,Large,High_eff,4.7406,existing_stock
Brunei Darussalam,2016,Large,High_eff,4.9071,existing_stock
Brunei Darussalam,2017,Large,High_eff,5.0727,existing_stock
Brunei Darussalam,2018,Large,High_eff,5.2364,existing_stock
Brunei Darussalam,2019,Large,High_eff,5.3993,existing_stock
Brunei Darussalam,2020,Large,High_eff,5.5623,existing_stock
Brunei Darussalam,2021,Large,High_eff,5.7261,existing_stock
Brunei Darussalam,2022,Large,High_eff,5.8909,existing_stock
Brunei Darussalam,2023,Large,High_eff,6.0554,existing_stock
Brunei Darussalam,2024,Large,High_eff,6.2185,existing_stock
Brunei Darussalam,2025,Large,High_eff,6.3802,existing_stock
Brunei Darussalam,2026,Large,High_eff,5.933,retirement_survival
Brunei Darussalam,2027,Large,High_eff,5.4738,retirement_survival
Brunei Darussalam,2028,Large,High_eff,5.0043,retirement_survival
Brunei Darussalam,2029,Large,High_eff,4.5272,retirement_survival
Brunei Darussalam,2030,Large,High_eff,4.0467,retirement_survival
Brunei Darussalam,2031,Large,High_eff,3.5684,retirement_survival
Brunei Darussalam,2032,Large,High_eff,3.0989,retirement_survival
Brunei Darussalam,2033,Large,High_eff,2.6456,retirement_survival
Brunei Darussalam,2034,Large,High_eff,2.2163,retirement_survival
Brunei Darussalam,2035,Large,High_eff,1.8182,retirement_survival
Brunei Darussalam,2036,Large,High_eff,1.4577,retirement_survival
Brunei Darussalam,2037,Large,High_eff,1.1398,retirement_survival
Brunei Darussalam,2038,Large,High_eff,0.8672,retirement_survival
Brunei Darussalam,2039,Large,High_eff,0.6406,retirement_survival
Brunei Darussalam,2040,Large,High_eff,0.4584,retirement_survival
Brunei Darussalam,2041,Large,High_eff,0.317,retirement_survival
Brunei Darussalam,2042,Large,High_eff,0.2114,retirement_survival
Brunei Darussalam,2043,Large,High_eff,0.1355,retirement_survival
Brunei Darussalam,2044,Large,High_eff,0.0834,retirement_survival
Brunei Darussalam,2045,Large,High_eff,0.0491,retirement_survival
Brunei Darussalam,2046,Large,High_eff,0.0276,retirement_survival
Brunei Darussalam,2047,Large,High_eff,0.0148,retirement_survival
Brunei Darussalam,2048,Large,High_eff,0.0075,retirement_survival
Brunei Darussalam,2049,Large,High_eff,0.0036,retirement_survival
Brunei Darussalam,2050,Large,High_eff,0.0016,retirement_survival
Brunei Darussalam,2051,Large,High_eff,0.0007,retirement_survival
Brunei Darussalam,2052,Large,High_eff,0.0003,retirement_survival
Brunei Darussalam,2053,Large,High_eff,0.0001,retirement_survival
Brunei Darussalam,2054,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2055,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2056,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2057,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2058,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2059,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2060,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2005,Large,Low_eff,1.9978,existing_stock
Brunei Darussalam,2006,Large,Low_eff,2.095,existing_stock
Brunei Darussalam,2007,Large,Low_eff,2.1937,existing_stock
Brunei Darussalam,2008,Large,Low_eff,2.2939,existing_stock
Brunei Darussalam,2009,Large,Low_eff,2.3958,existing_stock
Brunei Darussalam,2010,Large,Low_eff,2.4999,existing_stock
Brunei Darussalam,2011,Large,Low_eff,2.6041,existing_stock
Brunei Darussalam,2012,Large,Low_eff,2.708,existing_stock
Brunei Darussalam,2013,Large,Low_eff,2.8134,existing_stock
Brunei Darussalam,2014,Large,Low_eff,2.9196,existing_stock
Brunei Darussalam,2015,Large,Low_eff,3.0261,existing_stock
Brunei Darussalam,2016,Large,Low_eff,3.1324,existing_stock
Brunei Darussalam,2017,Large,Low_eff,3.238,existing_stock
Brunei Darussalam,2018,Large,Low_eff,3.3426,existing_stock
Brunei Darussalam,2019,Large,Low_eff,3.4465,existing_stock
Brunei Darussalam,2020,Large,Low_eff,3.5505,existing_stock
Brunei Darussalam,2021,Large,Low_eff,3.6551,existing_stock
Brunei Darussalam,2022,Large,Low_eff,3.7603,existing_stock
Brunei Darussalam,2023,Large,Low_eff,3.8653,existing_stock
Brunei Darussalam,2024,Large,Low_eff,3.9694,existing_stock
Brunei Darussalam,2025,Large,Low_eff,4.0727,existing_stock
Brunei Darussalam,2026,Large,Low_eff,3.7872,retirement_survival
Brunei Darussalam,2027,Large,Low_eff,3.4941,retirement_survival
Brunei Darussalam,2028,Large,Low_eff,3.1944,retirement_survival
Brunei Darussalam,2029,Large,Low_eff,2.8899,retirement_survival
Brunei Darussalam,2030,Large,Low_eff,2.5831,retirement_survival
Brunei Darussalam,2031,Large,Low_eff,2.2778,retirement_survival
Brunei Darussalam,2032,Large,Low_eff,1.9781,retirement_survival
Brunei Darussalam,2033,Large,Low_eff,1.6888,retirement_survival
Brunei Darussalam,2034,Large,Low_eff,1.4147,retirement_survival
Brunei Darussalam,2035,Large,Low_eff,1.1606,retirement_survival
Brunei Darussalam,2036,Large,Low_eff,0.9305,retirement_survival
Brunei Darussalam,2037,Large,Low_eff,0.7276,retirement_survival
Brunei Darussalam,2038,Large,Low_eff,0.5536,retirement_survival
Brunei Darussalam,2039,Large,Low_eff,0.409,retirement_survival
Brunei Darussalam,2040,Large,Low_eff,0.2926,retirement_survival
Brunei Darussalam,2041,Large,Low_eff,0.2024,retirement_survival
Brunei Darussalam,2042,Large,Low_eff,0.1349,retirement_survival
Brunei Darussalam,2043,Large,Low_eff,0.0865,retirement_survival
Brunei Darussalam,2044,Large,Low_eff,0.0532,retirement_survival
Brunei Darussalam,2045,Large,Low_eff,0.0313,retirement_survival
Brunei Darussalam,2046,Large,Low_eff,0.0176,retirement_survival
Brunei Darussalam,2047,Large,Low_eff,0.0094,retirement_survival
Brunei Darussalam,2048,Large,Low_eff,0.0048,retirement_survival
Brunei Darussalam,2049,Large,Low_eff,0.0023,retirement_survival
Brunei Darussalam,2050,Large,Low_eff,0.0011,retirement_survival
Brunei Darussalam,2051,Large,Low_eff,0.0005,retirement_survival
Brunei Darussalam,2052,Large,Low_eff,0.0002,retirement_survival
Brunei Darussalam,2053,Large,Low_eff,0.0001,retirement_survival
Brunei Darussalam,2054,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2055,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2056,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2057,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2058,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2059,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2060,Large,Low_eff,0.0,retirement_survival
Brunei Darussalam,2005,Large,Mid_eff,2.5004,existing_stock
Brunei Darussalam,2006,Large,Mid_eff,2.6221,existing_stock
Brunei Darussalam,2007,Large,Mid_eff,2.7456,existing_stock
Brunei Darussalam,2008,Large,Mid_eff,2.871,existing_stock
Brunei Darussalam,2009,Large,Mid_eff,2.9986,existing_stock
Brunei Darussalam,2010,Large,Mid_eff,3.1288,existing_stock
Brunei Darussalam,2011,Large,Mid_eff,3.2593,existing_stock
Brunei Darussalam,2012,Large,Mid_eff,3.3894,existing_stock
Brunei Darussalam,2013,Large,Mid_eff,3.5212,existing_stock
Brunei Darussalam,2014,Large,Mid_eff,3.6541,existing_stock
Brunei Darussalam,2015,Large,Mid_eff,3.7874,existing_stock
Brunei Darussalam,2016,Large,Mid_eff,3.9204,existing_stock
Brunei Darussalam,2017,Large,Mid_eff,4.0527,existing_stock
Brunei Darussalam,2018,Large,Mid_eff,4.1835,existing_stock
Brunei Darussalam,2019,Large,Mid_eff,4.3136,existing_stock
Brunei Darussalam,2020,Large,Mid_eff,4.4438,existing_stock
Brunei Darussalam,2021,Large,Mid_eff,4.5747,existing_stock
Brunei Darussalam,2022,Large,Mid_eff,4.7064,existing_stock
Brunei Darussalam,2023,Large,Mid_eff,4.8378,existing_stock
Brunei Darussalam,2024,Large,Mid_eff,4.9681,existing_stock
Brunei Darussalam,2025,Large,Mid_eff,5.0973,existing_stock
Brunei Darussalam,2026,Large,Mid_eff,4.74,retirement_survival
Brunei Darussalam,2027,Large,Mid_eff,4.3732,retirement_survival
Brunei Darussalam,2028,Large,Mid_eff,3.9981,retirement_survival
Brunei Darussalam,2029,Large,Mid_eff,3.6169,retirement_survival
Brunei Darussalam,2030,Large,Mid_eff,3.233,retirement_survival
Brunei Darussalam,2031,Large,Mid_eff,2.8509,retirement_survival
Brunei Darussalam,2032,Large,Mid_eff,2.4758,retirement_survival
Brunei Darussalam,2033,Large,Mid_eff,2.1137,retirement_survival
Brunei Darussalam,2034,Large,Mid_eff,1.7706,retirement_survival
Brunei Darussalam,2035,Large,Mid_eff,1.4526,retirement_survival
