Country,Year,Scenario,Size_group,Efficiency_level,efficiency_pct,useful_energy_intensity_toe,demand_cost_usd_per_unit,kwh_unit,om_electricity_usd,tariff_usd_per_kwh
Brunei Darussalam,2014,ATS,Large,High_eff,83.90886103705793,0.13453555733087,141.0078071979954,1864.7,13.42584,0.0072
Brunei Darussalam,2014,ATS,Large,Low_eff,44.417434047522256,0.13453555733087,134.2937404689606,3522.6,25.36272,0.0072
Brunei Darussalam,2014,ATS,Large,Mid_eff,60.68763213707312,0.13453555733087,137.65077383347798,2578.2,18.56304,0.0072
Brunei Darussalam,2014,ATS,Medium,High_eff,83.90886103705793,0.08200413710638,87.9949654638649,1136.6,8.18352,0.0072
Brunei Darussalam,2014,ATS,Medium,Low_eff,42.86135969382052,0.08200413710638,65.5030900393637,2225.1,16.020719999999997,0.0072
Brunei Darussalam,2014,ATS,Medium,Mid_eff,62.96765578682162,0.08200413710638,59.721946107859246,1514.6,10.905119999999998,0.0072
Brunei Darussalam,2014,ATS,Small,High_eff,83.90886103705793,0.0564635207631999,69.16282707754785,782.6,5.63472,0.0072
Brunei Darussalam,2014,ATS,Small,Low_eff,54.09595077650674,0.0564635207631999,38.44584773333108,1213.9,8.74008,0.0072
Brunei Darussalam,2014,ATS,Small,Mid_eff,68.74693744514397,0.0564635207631999,40.80296650368697,955.2,6.87744,0.0072
Brunei Darussalam,2015,ATS,Large,High_eff,83.90886103705793,0.13453555733087,141.0078071979954,1864.7,13.42584,0.0072
Brunei Darussalam,2015,ATS,Large,Low_eff,44.417434047522256,0.13453555733087,134.2937404689606,3522.6,25.36272,0.0072
Brunei Darussalam,2015,ATS,Large,Mid_eff,60.68763213707312,0.13453555733087,137.65077383347798,2578.2,18.56304,0.0072
Brunei Darussalam,2015,ATS,Medium,High_eff,83.90886103705793,0.08200413710638,87.9949654638649,1136.6,8.18352,0.0072
Brunei Darussalam,2015,ATS,Medium,Low_eff,42.86135969382052,0.08200413710638,65.5030900393637,2225.1,16.020719999999997,0.0072
Brunei Darussalam,2015,ATS,Medium,Mid_eff,62.96765578682162,0.08200413710638,59.721946107859246,1514.6,10.905119999999998,0.0072
Brunei Darussalam,2015,ATS,Small,High_eff,83.90886103705793,0.0564635207631999,69.16282707754785,782.6,5.63472,0.0072
Brunei Darussalam,2015,ATS,Small,Low_eff,54.09595077650674,0.0564635207631999,38.44584773333108,1213.9,8.74008,0.0072
Brunei Darussalam,2015,ATS,Small,Mid_eff,68.74693744514397,0.0564635207631999,40.80296650368697,955.2,6.87744,0.0072
Brunei Darussalam,2016,ATS,Large,High_eff,83.90886103705793,0.13453555733087,141.0078071979954,1864.7,13.42584,0.0072
Brunei Darussalam,2016,ATS,Large,Low_eff,44.417434047522256,0.13453555733087,134.2937404689606,3522.6,25.36272,0.0072
Brunei Darussalam,2016,ATS,Large,Mid_eff,60.68763213707312,0.13453555733087,137.65077383347798,2578.2,18.56304,0.0072
Brunei Darussalam,2016,ATS,Medium,High_eff,83.90886103705793,0.08200413710638,87.9949654638649,1136.6,8.18352,0.0072
Brunei Darussalam,2016,ATS,Medium,Low_eff,42.86135969382052,0.08200413710638,65.5030900393637,2225.1,16.020719999999997,0.0072
Brunei Darussalam,2016,ATS,Medium,Mid_eff,62.96765578682162,0.08200413710638,59.721946107859246,1514.6,10.905119999999998,0.0072
Brunei Darussalam,2016,ATS,Small,High_eff,83.90886103705793,0.0564635207631999,69.16282707754785,782.6,5.63472,0.0072
Brunei Darussalam,2016,ATS,Small,Low_eff,54.09595077650674,0.0564635207631999,38.44584773333108,1213.9,8.74008,0.0072
Brunei Darussalam,2016,ATS,Small,Mid_eff,68.74693744514397,0.0564635207631999,40.80296650368697,955.2,6.87744,0.0072
Brunei Darussalam,2017,ATS,Large,High_eff,83.90886103705793,0.13453555733087,141.0078071979954,1864.7,13.42584,0.0072
Brunei Darussalam,2017,ATS,Large,Low_eff,44.417434047522256,0.13453555733087,134.2937404689606,3522.6,25.36272,0.0072
Brunei Darussalam,2017,ATS,Large,Mid_eff,60.68763213707312,0.13453555733087,137.65077383347798,2578.2,18.56304,0.0072
Brunei Darussalam,2017,ATS,Medium,High_eff,83.90886103705793,0.08200413710638,87.9949654638649,1136.6,8.18352,0.0072
Brunei Darussalam,2017,ATS,Medium,Low_eff,42.86135969382052,0.08200413710638,65.5030900393637,2225.1,16.020719999999997,0.0072
