Country,Year,Scenario,Size_group,Efficiency_level,ownership_parent_pct,size_share_pct,eff_share_pct,leaf_ownership_pct,drift_rate_pct_yr,drift_factor,kwh_unit_2024,final_kwh_unit,efficiency_pct,useful_energy_intensity_toe,price_usd,crf,annualized_capital_usd,tariff_usd_per_kwh,om_electricity_usd,demand_cost_usd_per_hh,unit_capacity_kw,source
Brunei Darussalam,2014,ATS,Large,High_eff,98.25,18.060000000000002,41.02990033222591,7.28,1.0,1.0,498.7,498.7,49.3074620618078,0.021143277154104512,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,projected
Brunei Darussalam,2014,ATS,Large,Low_eff,98.25,18.060000000000002,26.190476190476193,4.64,1.0,1.0,760.1,760.1,32.350521418528544,0.021143277154104512,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,projected
Brunei Darussalam,2014,ATS,Large,Mid_eff,98.25,18.060000000000002,32.77962347729789,5.81,1.0,1.0,605.0,605.0,40.64401872764223,0.021143277154104512,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,projected
Brunei Darussalam,2014,ATS,Medium,High_eff,98.25,46.39,41.0864410433283,18.73,1.0,1.0,454.9,454.9,49.307462061807804,0.01928629792942078,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,projected
Brunei Darussalam,2014,ATS,Medium,Low_eff,98.25,46.39,26.277214917007974,11.98,1.0,1.0,663.8,663.8,33.79024479047359,0.01928629792942078,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,projected
Brunei Darussalam,2014,ATS,Medium,Mid_eff,98.25,46.39,32.636344039663726,14.88,1.0,1.0,501.4,501.4,44.734671902505724,0.01928629792942078,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,projected
Brunei Darussalam,2014,ATS,Small,High_eff,98.25,35.55,40.9282700421941,14.29,1.0,1.0,305.2,305.2,49.3074620618078,0.012939499072453774,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,projected
Brunei Darussalam,2014,ATS,Small,Low_eff,98.25,35.55,46.63853727144866,16.29,1.0,1.0,518.6,518.6,29.01781222765858,0.012939499072453774,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,projected
Brunei Darussalam,2014,ATS,Small,Mid_eff,98.25,35.55,12.433192686357245,4.34,1.0,1.0,353.5,353.5,42.57040288900634,0.012939499072453774,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,projected
Brunei Darussalam,2015,ATS,Large,High_eff,98.27,18.060000000000002,41.02990033222591,7.28,1.0,1.0,498.7,498.7,49.3074620618078,0.021143277154104512,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,projected
Brunei Darussalam,2015,ATS,Large,Low_eff,98.27,18.060000000000002,26.190476190476193,4.65,1.0,1.0,760.1,760.1,32.350521418528544,0.021143277154104512,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,projected
Brunei Darussalam,2015,ATS,Large,Mid_eff,98.27,18.060000000000002,32.77962347729789,5.82,1.0,1.0,605.0,605.0,40.64401872764223,0.021143277154104512,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,projected
Brunei Darussalam,2015,ATS,Medium,High_eff,98.27,46.39,41.0864410433283,18.73,1.0,1.0,454.9,454.9,49.307462061807804,0.01928629792942078,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,projected
Brunei Darussalam,2015,ATS,Medium,Low_eff,98.27,46.39,26.277214917007974,11.98,1.0,1.0,663.8,663.8,33.79024479047359,0.01928629792942078,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,projected
Brunei Darussalam,2015,ATS,Medium,Mid_eff,98.27,46.39,32.636344039663726,14.88,1.0,1.0,501.4,501.4,44.734671902505724,0.01928629792942078,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,projected
Brunei Darussalam,2015,ATS,Small,High_eff,98.27,35.55,40.9282700421941,14.3,1.0,1.0,305.2,305.2,49.3074620618078,0.012939499072453774,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,projected
Brunei Darussalam,2015,ATS,Small,Low_eff,98.27,35.55,46.63853727144866,16.3,1.0,1.0,518.6,518.6,29.01781222765858,0.012939499072453774,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,projected
Brunei Darussalam,2015,ATS,Small,Mid_eff,98.27,35.55,12.433192686357245,4.35,1.0,1.0,353.5,353.5,42.57040288900634,0.012939499072453774,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,projected
Brunei Darussalam,2016,ATS,Large,High_eff,98.29,18.060000000000002,41.02990033222591,7.28,1.0,1.0,498.7,498.7,49.3074620618078,0.021143277154104512,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,projected
Brunei Darussalam,2016,ATS,Large,Low_eff,98.29,18.060000000000002,26.190476190476193,4.65,1.0,1.0,760.1,760.1,32.350521418528544,0.021143277154104512,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,projected
Brunei Darussalam,2016,ATS,Large,Mid_eff,98.29,18.060000000000002,32.77962347729789,5.82,1.0,1.0,605.0,605.0,40.64401872764223,0.021143277154104512,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,projected
Brunei Darussalam,2016,ATS,Medium,High_eff,98.29,46.39,41.0864410433283,18.74,1.0,1.0,454.9,454.9,49.307462061807804,0.01928629792942078,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,projected
Brunei Darussalam,2016,ATS,Medium,Low_eff,98.29,46.39,26.277214917007974,11.98,1.0,1.0,663.8,663.8,33.79024479047359,0.01928629792942078,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,projected
Brunei Darussalam,2016,ATS,Medium,Mid_eff,98.29,46.39,32.636344039663726,14.88,1.0,1.0,501.4,501.4,44.734671902505724,0.01928629792942078,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,projected
Brunei Darussalam,2016,ATS,Small,High_eff,98.29,35.55,40.9282700421941,14.3,1.0,1.0,305.2,305.2,49.3074620618078,0.012939499072453774,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,projected
Brunei Darussalam,2016,ATS,Small,Low_eff,98.29,35.55,46.63853727144866,16.3,1.0,1.0,518.6,518.6,29.01781222765858,0.012939499072453774,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,projected
Brunei Darussalam,2016,ATS,Small,Mid_eff,98.29,35.55,12.433192686357245,4.35,1.0,1.0,353.5,353.5,42.57040288900634,0.012939499072453774,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,projected
Brunei Darussalam,2017,ATS,Large,High_eff,98.3,18.060000000000002,41.02990033222591,7.28,1.0,1.0,498.7,498.7,49.3074620618078,0.021143277154104512,2008.2,0.13965065846950367,280.4464523384573,0.0072,3.5906399999999996,280.4464523384573,,projected
Brunei Darussalam,2017,ATS,Large,Low_eff,98.3,18.060000000000002,26.190476190476193,4.65,1.0,1.0,760.1,760.1,32.350521418528544,0.021143277154104512,1910.9,0.13965065846950367,266.85844326937456,0.0072,5.47272,266.85844326937456,,projected
Brunei Darussalam,2017,ATS,Large,Mid_eff,98.3,18.060000000000002,32.77962347729789,5.82,1.0,1.0,605.0,605.0,40.64401872764223,0.021143277154104512,1851.9,0.13965065846950367,258.61905441967383,0.0072,4.356,258.61905441967383,,projected
Brunei Darussalam,2017,ATS,Medium,High_eff,98.3,46.39,41.0864410433283,18.74,1.0,1.0,454.9,454.9,49.307462061807804,0.01928629792942078,1397.7,0.13965065846950367,195.18972534282528,0.0072,3.2752799999999995,195.18972534282528,,projected
Brunei Darussalam,2017,ATS,Medium,Low_eff,98.3,46.39,26.277214917007974,11.99,1.0,1.0,663.8,663.8,33.79024479047359,0.01928629792942078,1309.6,0.13965065846950367,182.886502331662,0.0072,4.77936,182.886502331662,,projected
Brunei Darussalam,2017,ATS,Medium,Mid_eff,98.3,46.39,32.636344039663726,14.89,1.0,1.0,501.4,501.4,44.734671902505724,0.01928629792942078,1190.1,0.13965065846950367,166.19824864455632,0.0072,3.61008,166.19824864455632,,projected
Brunei Darussalam,2017,ATS,Small,High_eff,98.3,35.55,40.9282700421941,14.3,1.0,1.0,305.2,305.2,49.3074620618078,0.012939499072453774,667.2,0.13965065846950367,93.17491933085286,0.0072,2.19744,93.17491933085286,,projected
Brunei Darussalam,2017,ATS,Small,Low_eff,98.3,35.55,46.63853727144866,16.3,1.0,1.0,518.6,518.6,29.01781222765858,0.012939499072453774,397.2,0.13965065846950367,55.469241544086856,0.0072,3.73392,55.469241544086856,,projected
Brunei Darussalam,2017,ATS,Small,Mid_eff,98.3,35.55,12.433192686357245,4.35,1.0,1.0,353.5,353.5,42.57040288900634,0.012939499072453774,519.9,0.13965065846950367,72.60437733829495,0.0072,2.5452,72.60437733829495,,projected
