ams,branch,branch_type,variable,year,value
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2005,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2006,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2007,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2008,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2009,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2010,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2011,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2012,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2013,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2014,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2015,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2016,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2017,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2018,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2019,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2020,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2021,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2022,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2023,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2024,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2025,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2026,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2027,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2028,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2029,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2030,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2031,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2032,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2033,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2034,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2035,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2036,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2037,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2038,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2039,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2040,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2041,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2042,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2043,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2044,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2045,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2046,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2047,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2048,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2049,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2050,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2051,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2052,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2053,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2054,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2055,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2056,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2057,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2058,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2059,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Inputs,2060,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2005,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2006,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2007,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2008,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2009,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2010,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2011,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2012,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2013,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2014,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2015,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2016,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2017,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2018,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2019,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2020,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2021,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2022,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2023,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2024,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2025,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2026,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2027,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2028,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2029,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2030,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2031,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2032,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2033,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2034,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2035,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2036,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2037,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2038,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2039,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2040,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2041,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2042,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2043,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2044,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2045,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2046,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2047,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2048,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2049,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2050,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2051,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2052,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2053,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2054,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2055,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2056,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2057,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2058,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2059,0.0
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Capacity Added,2060,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2005,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2006,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2007,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2008,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2009,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2010,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2011,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2012,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2013,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2014,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2015,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2016,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2017,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2018,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2019,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2020,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2021,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2022,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2023,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2024,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2025,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2026,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2027,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2028,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2029,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2030,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2031,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2032,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2033,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2034,0.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Inputs,2035,0.0
